"id","modality","week","measure"
1000,"logins","1",43
1001,"logins","1",82
1002,"logins","1",26
1003,"logins","1",49
1004,"logins","1",34
1005,"logins","1",100
1006,"logins","1",104
1007,"logins","1",31
1008,"logins","1",84
1009,"logins","1",46
1010,"logins","1",103
1011,"logins","1",114
1012,"logins","1",100
1013,"logins","1",86
1014,"logins","1",20
1015,"logins","1",114
1016,"logins","1",40
1017,"logins","1",119
1018,"logins","1",91
1019,"logins","1",41
1020,"logins","1",98
1021,"logins","1",99
1022,"logins","1",29
1023,"logins","1",105
1024,"logins","1",119
1025,"logins","1",118
1026,"logins","1",20
1027,"logins","1",102
1028,"logins","1",89
1029,"logins","1",101
1030,"logins","1",87
1031,"logins","1",26
1032,"logins","1",28
1033,"logins","1",111
1034,"logins","1",31
1035,"logins","1",86
1036,"logins","1",80
1037,"logins","1",33
1038,"logins","1",115
1039,"logins","1",103
1040,"logins","1",108
1041,"logins","1",49
1042,"logins","1",24
1043,"logins","1",115
1044,"logins","1",34
1045,"logins","1",120
1046,"logins","1",98
1047,"logins","1",97
1048,"logins","1",110
1049,"logins","1",92
1050,"logins","1",105
1051,"logins","1",34
1052,"logins","1",25
1053,"logins","1",88
1054,"logins","1",107
1055,"logins","1",27
1056,"logins","1",42
1057,"logins","1",112
1058,"logins","1",116
1059,"logins","1",26
1060,"logins","1",21
1061,"logins","1",94
1062,"logins","1",50
1063,"logins","1",31
1064,"logins","1",50
1065,"logins","1",104
1066,"logins","1",87
1067,"logins","1",80
1068,"logins","1",83
1069,"logins","1",112
1070,"logins","1",96
1071,"logins","1",110
1072,"logins","1",89
1073,"logins","1",28
1074,"logins","1",95
1075,"logins","1",105
1076,"logins","1",95
1077,"logins","1",23
1078,"logins","1",93
1079,"logins","1",118
1080,"logins","1",92
1081,"logins","1",50
1082,"logins","1",95
1083,"logins","1",31
1084,"logins","1",93
1085,"logins","1",43
1086,"logins","1",34
1087,"logins","1",50
1088,"logins","1",95
1089,"logins","1",21
1090,"logins","1",34
1091,"logins","1",116
1092,"logins","1",89
1093,"logins","1",109
1094,"logins","1",30
1095,"logins","1",42
1096,"logins","1",108
1097,"logins","1",26
1098,"logins","1",32
1099,"logins","1",45
1100,"logins","1",113
1101,"logins","1",36
1102,"logins","1",20
1103,"logins","1",117
1104,"logins","1",49
1105,"logins","1",40
1106,"logins","1",42
1107,"logins","1",26
1108,"logins","1",120
1109,"logins","1",97
1110,"logins","1",38
1111,"logins","1",96
1112,"logins","1",120
1113,"logins","1",111
1114,"logins","1",87
1115,"logins","1",45
1116,"logins","1",31
1117,"logins","1",117
1118,"logins","1",93
1119,"logins","1",24
1120,"logins","1",35
1121,"logins","1",113
1122,"logins","1",49
1123,"logins","1",45
1124,"logins","1",118
1125,"logins","1",87
1126,"logins","1",106
1127,"logins","1",92
1128,"logins","1",47
1129,"logins","1",29
1130,"logins","1",114
1131,"logins","1",41
1132,"logins","1",109
1133,"logins","1",102
1134,"logins","1",45
1135,"logins","1",118
1136,"logins","1",41
1137,"logins","1",85
1138,"logins","1",49
1139,"logins","1",89
1140,"logins","1",85
1141,"logins","1",97
1142,"logins","1",25
1143,"logins","1",112
1144,"logins","1",35
1145,"logins","1",38
1146,"logins","1",35
1147,"logins","1",95
1148,"logins","1",93
1149,"logins","1",93
1150,"logins","1",94
1151,"logins","1",43
1152,"logins","1",41
1153,"logins","1",23
1154,"logins","1",113
1155,"logins","1",36
1156,"logins","1",119
